excipient_id,excipient_name_en,excipient_name_kr,e_number,unii,cas_number,functional_category,secondary_function,route,dosage_form,typical_use_pct_min,typical_use_pct_max,iid_max_potency_mg,iid_max_potency_source_date,ema_annex_listed,ema_annex_threshold,ema_annex_concern,ema_annex_version,ema_annex_retrieved_on,pediatric_flag,moisture_sensitive_api_compatible,hygroscopic,reducing_sugar,alkaline_surface_ph,process_compatibility,incompat_trigger,source_ref,verification_status
EXC078,Sodium metabisulphite,메타중아황산나트륨,E 223,TO_VERIFY,TO_VERIFY,antioxidant,preservative,oral,tablet;capsule,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,yes,Zero,May rarely cause severe hypersensitivity reactions and bronchospasm,EMA/CHMP/302620/2017 Rev.2,2026-07-24,restricted,yes,yes,no,no,WG,sulphite_hypersensitivity;sodium_load,EMA_ANNEX;IID,SCHEMA_ONLY
EXC079,Butylated hydroxyanisole,부틸히드록시아니솔,E 320,TO_VERIFY,TO_VERIFY,antioxidant,,oral,tablet;capsule,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,yes,Zero (topical route in Annex),Annex entry is for the topical route (local skin reactions). Oral use not covered by an Annex threshold,EMA/CHMP/302620/2017 Rev.2,2026-07-24,caution,yes,no,no,no,DC;WG;DG,,HPE;EMA_ANNEX;IID,SCHEMA_ONLY
EXC080,Butylated hydroxytoluene,부틸히드록시톨루엔,E 321,TO_VERIFY,TO_VERIFY,antioxidant,,oral,tablet;capsule,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,yes,Zero (topical route in Annex),Annex entry is for the topical route (local skin reactions). Oral use not covered by an Annex threshold,EMA/CHMP/302620/2017 Rev.2,2026-07-24,caution,yes,no,no,no,DC;WG;DG,,HPE;EMA_ANNEX;IID,SCHEMA_ONLY
EXC081,Ascorbic acid,아스코르브산,E 300,TO_VERIFY,TO_VERIFY,antioxidant,,oral,tablet;capsule,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,no,yes,no,no,DC;WG;DG,acidic,HPE;IID,SCHEMA_ONLY
EXC082,Citric acid monohydrate,시트르산수화물,E 330,TO_VERIFY,TO_VERIFY,pH-adjuster,antioxidant-synergist,oral,tablet;capsule,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,no,yes,no,no,DC;WG;DG,acidic,HPE;IID,SCHEMA_ONLY
EXC083,Disodium edetate (EDTA),에데트산이나트륨,E 386,TO_VERIFY,TO_VERIFY,chelating-agent,,oral,tablet;capsule,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,yes,no,no,WG,sodium_load,HPE;IID,SCHEMA_ONLY
EXC084,Sodium bicarbonate,탄산수소나트륨,E 500,TO_VERIFY,TO_VERIFY,pH-adjuster,effervescent-base,oral,tablet;effervescent,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,no,yes,no,yes,DC;DG,sodium_load;acid_labile_api,HPE;IID,SCHEMA_ONLY
EXC085,Sodium carbonate anhydrous,무수탄산나트륨,,TO_VERIFY,TO_VERIFY,pH-adjuster,,oral,tablet,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,yes,no,yes,DC;DG,sodium_load;acid_labile_api,HPE;IID,SCHEMA_ONLY
EXC086,Meglumine,메글루민,,TO_VERIFY,TO_VERIFY,pH-adjuster,solubilizer,oral,tablet;capsule,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,yes,no,yes,WG;DG,,HPE;IID,SCHEMA_ONLY
EXC087,Tartaric acid,타르타르산,E 334,TO_VERIFY,TO_VERIFY,pH-adjuster,effervescent-acid,oral,tablet;effervescent,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,no,yes,no,no,DC;DG,acidic,HPE;IID,SCHEMA_ONLY
EXC088,Fumaric acid,푸마르산,E 297,TO_VERIFY,TO_VERIFY,pH-adjuster,,oral,tablet,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,no,no,no,DC;DG,acidic,HPE;IID,SCHEMA_ONLY
EXC089,Banana flavour,바나나향,,TO_VERIFY,TO_VERIFY,flavoring,,oral,tablet;ODT;chewable,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,"Flavour compositions are proprietary mixtures - constituent allergens must be obtained from the supplier specification, not assumed",,,caution,yes,yes,no,no,DC;WG,flavor_composition_unknown,HPE,UNVERIFIED_CRITICAL
EXC090,Strawberry flavour,딸기향,,TO_VERIFY,TO_VERIFY,flavoring,,oral,tablet;ODT;chewable,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,Flavour compositions are proprietary mixtures - constituent allergens must be obtained from the supplier specification,,,caution,yes,yes,no,no,DC;WG,flavor_composition_unknown,HPE,UNVERIFIED_CRITICAL
EXC091,Peppermint flavour,페퍼민트향,,TO_VERIFY,TO_VERIFY,flavoring,,oral,tablet;ODT;chewable,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,Flavour compositions are proprietary mixtures - constituent allergens must be obtained from the supplier specification,,,caution,yes,yes,no,no,DC;WG,flavor_composition_unknown,HPE,UNVERIFIED_CRITICAL
EXC092,Menthol,멘톨,,TO_VERIFY,TO_VERIFY,flavoring,cooling-agent,oral,tablet;ODT;lozenge,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,caution,yes,no,no,no,DC;WG,,HPE;IID,SCHEMA_ONLY
EXC093,Hypromellose capsule shell (HPMC),히프로멜로오스캡슐,,TO_VERIFY,TO_VERIFY,capsule-shell,,oral,capsule,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,no,no,no,capsule,,HPE;IID,SCHEMA_ONLY
EXC094,Gelatin capsule shell,젤라틴캡슐,,TO_VERIFY,TO_VERIFY,capsule-shell,,oral,capsule,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,no,yes,no,no,capsule,,HPE;IID,SCHEMA_ONLY
EXC095,Carnauba wax,카르나우바왁스,,TO_VERIFY,TO_VERIFY,polishing-agent,,oral,tablet(coating),TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,no,no,no,coating,,HPE;IID,SCHEMA_ONLY
EXC096,Hydrogenated castor oil,경화피마자유,,TO_VERIFY,TO_VERIFY,lubricant,matrix-former,oral,tablet,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,no,no,no,DC;WG;DG,,HPE;IID,SCHEMA_ONLY
EXC097,Soya lecithin,대두레시틴,,TO_VERIFY,TO_VERIFY,surfactant,wetting-agent,oral,tablet;capsule,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,yes,Zero (soya oil entry),Peanut/soya allergy - Annex lists soya oil with contraindication wording; lecithin source must be checked against supplier spec,EMA/CHMP/302620/2017 Rev.2,2026-07-24,restricted,yes,yes,no,no,WG,soya_allergy,HPE;EMA_ANNEX;IID,UNVERIFIED_CRITICAL
EXC098,Sodium chloride,염화나트륨,,TO_VERIFY,TO_VERIFY,tonicity-agent,diluent,oral,tablet;capsule,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,yes,<1 mmol (23 mg); 1 mmol; 17 mmol (391 mg) in MDD,Sodium load; relevant to low-sodium diet. 17 mmol in maximum daily dose is considered 'high' sodium,EMA/CHMP/302620/2017 Rev.2,2026-07-24,restricted,yes,yes,no,no,DC;WG;DG,sodium_load,EMA_ANNEX;IID,SCHEMA_ONLY
EXC099,Potassium chloride,염화칼륨,,TO_VERIFY,TO_VERIFY,tonicity-agent,,oral,tablet;capsule,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,yes,<1 mmol; 1 mmol per dose,Reduced kidney function or controlled potassium diet,EMA/CHMP/302620/2017 Rev.2,2026-07-24,restricted,yes,yes,no,no,DC;WG;DG,potassium_load,EMA_ANNEX;IID,SCHEMA_ONLY
EXC100,Simethicone,시메티콘,,TO_VERIFY,TO_VERIFY,antifoaming-agent,,oral,tablet;oral-liquid,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,no,no,no,WG,,HPE;IID,SCHEMA_ONLY
